,origin,country,lat,long,magnitude,shaking_death,deaths,year,month,decade,hour,Season,sleep,Class,year5,density,GDP
0,1900-05-11 17:23,Japan,38.7,141.1,7.0,,,1900,5,1900,2.0,spring,True,Major,1900,,
1,1900-07-12 06:25,Turkey,40.3,43.1,5.9,,140.0,1900,7,1900,8.0,summer,False,Moderate,1900,,
2,1901-02-15 00:00,China,26.0,100.1,6.5,,,1901,2,1900,6.0,winter,True,Strong,1900,,
3,1901-08-09 09:23,Japan,40.5,142.5,7.2,,,1901,8,1900,18.0,summer,False,Major,1900,,
4,1902-01-30 14:01,Japan,40.5,141.3,6.9,,1.0,1902,1,1900,23.0,winter,True,Strong,1900,,
5,1902-03-09 07:46,Turkey,40.7,33.6,5.5,,4.0,1902,3,1900,9.0,spring,False,Moderate,1900,,
6,1902-07-03 15:36,China,43.2,129.6,6.7,,,1902,7,1900,23.0,summer,True,Strong,1900,,
7,1902-08-22 03:00,China,40.0,77.0,7.7,,5650.0,1902,8,1900,8.0,summer,False,Major,1900,,
8,1903-04-28,Turkey,39.14,42.65,7.0,,3500.0,1903,4,1900,,spring,True,Major,1900,,
9,1903-05-28 03:58,Turkey,40.9,42.7,5.8,,1000.0,1903,5,1900,5.0,spring,True,Moderate,1900,,
10,1904-08-30 11:42,China,30.0,101.0,6.8,,565.0,1904,8,1900,17.0,summer,False,Strong,1900,,
11,1905-06-02 05:39,Japan,34.1,132.5,7.0,,11.0,1905,6,1900,13.0,summer,False,Major,1905,,
12,1906-12-22 18:21,China,43.5,85.0,7.2,,285.0,1906,12,1900,23.0,winter,True,Major,1905,,
13,1909-01-19 04:56,Turkey,38.6,26.9,5.8,,8.0,1909,1,1900,5.0,winter,True,Moderate,1905,,
14,1909-02-09 11:24,Turkey,40.0,38.0,6.8,,,1909,2,1900,13.0,winter,False,Strong,1905,,
15,1909-05-11 15:54,China,24.4,103.0,6.5,,19.0,1909,5,1900,21.0,spring,True,Strong,1905,,
16,1909-08-14 06:31,Japan,35.4,136.3,6.7,,41.0,1909,8,1900,15.0,summer,False,Strong,1905,,
17,1909-10-20 23:41,Pakistan,30.0,68.0,7.0,,231.0,1909,10,1900,3.0,authumn,True,Major,1905,,
18,1909-11-10 06:13,Japan,32.3,131.1,7.5,,2.0,1909,11,1900,14.0,authumn,False,Major,1905,,
19,1910-01-08 14:49,China,35.0,122.0,6.8,,1.0,1910,1,1910,22.0,winter,True,Strong,1910,,
20,1910-04-12 00:22,Japan,25.0,123.0,7.6,,20.0,1910,4,1910,8.0,spring,False,Major,1910,,
21,1911-06-15 14:26,Japan,28.0,130.0,8.1,,12.0,1911,6,1910,22.0,summer,True,Great,1910,,
22,1912-08-09 01:29,Turkey,40.5,27.0,7.6,,2836.0,1912,8,1910,2.0,summer,True,Major,1910,,
23,1913-08-06 22:14,Peru,-17.0,-74.0,7.8,,,1913,8,1910,17.0,winter,False,Major,1910,,
24,1913-11-04 21:33,Peru,-14.2,-72.9,6.3,,150.0,1913,11,1910,16.0,spring,False,Strong,1910,,
25,1913-12-21 15:37,China,24.5,102.0,7.2,,1314.0,1913,12,1910,21.0,winter,True,Major,1910,,
26,1914-01-12 09:28,Japan,31.6,130.6,6.7,,35.0,1914,1,1910,17.0,winter,False,Strong,1910,,
27,1914-03-14 20:00,Japan,39.5,140.4,7.0,,94.0,1914,3,1910,5.0,spring,True,Major,1910,,
28,1914-08-04 22:41,China,43.5,91.5,7.2,,,1914,8,1910,4.0,summer,True,Major,1910,,
29,1914-10-03 22:06,Turkey,37.5,32.5,7.1,,4000.0,1914,10,1910,0.0,authumn,True,Major,1910,,
30,1915-03-17 18:45,Japan,42.1,143.6,7.2,,2.0,1915,3,1910,3.0,spring,True,Major,1915,,
31,1915-12-03 02:39,China,29.5,91.5,7.0,,170.0,1915,12,1910,8.0,winter,False,Major,1915,,
32,1917-01-24 00:48,China,31.0,114.0,6.5,,,1917,1,1910,7.0,winter,False,Strong,1915,,
33,1917-07-30 23:54,China,29.0,104.0,7.3,,1879.0,1917,7,1910,5.0,summer,True,Major,1915,,
34,1918-02-13 06:07,China,23.54,117.243,7.2,,10000.0,1918,2,1910,13.0,winter,False,Major,1915,,
35,1920-12-16 12:05,China,36.601,105.31700000000001,8.6,,235502.0,1920,12,1920,19.0,winter,False,Great,1920,,
36,1922-04-26 01:11,Japan,35.2,139.8,6.8,,2.0,1922,4,1920,10.0,spring,False,Strong,1920,,
37,1922-12-07 16:50,Japan,32.7,130.1,6.9,,26.0,1922,12,1920,0.0,winter,True,Strong,1920,,
38,1922-12-08 02:02,Japan,32.7,130.1,6.5,,,1922,12,1920,10.0,winter,False,Strong,1920,,
39,1923-03-24 12:40,China,30.553,101.258,7.2,,5000.0,1923,3,1920,18.0,spring,False,Major,1920,,
40,1923-09-01 02:58,Japan,35.405,139.084,7.9,,143000.0,1923,9,1920,11.0,authumn,False,Major,1920,,
41,1924-01-14 20:50,Japan,35.5,139.2,7.3,,19.0,1924,1,1920,5.0,winter,True,Major,1920,,
42,1924-07-03 04:40,China,36.632,83.90299999999999,7.1,,255.0,1924,7,1920,9.0,summer,False,Major,1920,,
43,1924-09-13 14:34,Turkey,39.864000000000004,41.876000000000005,6.8,,30.0,1924,9,1920,16.0,authumn,False,Strong,1920,,
44,1925-03-16 14:42,China,25.688000000000002,100.494,7.0,,5808.0,1925,3,1920,20.0,spring,False,Major,1925,,
45,1925-05-23 02:09,Japan,35.6,134.8,6.8,,428.0,1925,5,1920,10.0,spring,False,Strong,1925,,
46,1926-03-18 14:06,Turkey,35.787,29.246,6.9,,,1926,3,1920,15.0,spring,False,Strong,1925,,
47,1926-10-22 19:59,Turkey,40.7,43.7,5.7,,370.0,1926,10,1920,21.0,authumn,True,Moderate,1925,,
48,1927-03-07 09:27,Japan,35.802,134.924,7.6,,2925.0,1927,3,1920,17.0,spring,False,Major,1925,,
49,1927-03-20 00:00,China,24.1,102.0,5.0,,7.0,1927,3,1920,6.0,spring,True,Moderate,1925,,
50,1927-05-22 22:32,China,37.385999999999996,102.311,7.9,,200000.0,1927,5,1920,4.0,spring,True,Major,1925,,
51,1928-03-31 00:29,Turkey,38.1,27.1,6.5,,170.0,1928,3,1920,1.0,spring,True,Strong,1925,,
52,1928-04-09 17:34,Peru,-13.731,-70.628,6.8,,10.0,1928,4,1920,12.0,authumn,False,Strong,1925,,
53,1928-05-14 22:14,Peru,-5.261,-78.559,7.2,,29.0,1928,5,1920,16.0,authumn,False,Major,1925,,
54,1929-05-18 06:37,Turkey,40.2,37.9,6.5,,64.0,1929,5,1920,8.0,spring,False,Strong,1925,,
55,1930-05-14 19:48,China,26.8,103.0,6.0,,42.0,1930,5,1930,1.0,spring,True,Strong,1930,,
56,1930-11-25 19:02,Japan,34.977,139.10299999999998,6.9,,272.0,1930,11,1930,4.0,authumn,True,Strong,1930,,
57,1930-12-25 19:03,Japan,35.1,133.0,7.0,,272.0,1930,12,1930,3.0,winter,True,Major,1930,,
58,1931-08-10 21:18,China,46.571000000000005,89.965,7.9,,10000.0,1931,8,1930,2.0,summer,True,Major,1930,,
59,1931-08-27 15:27,Pakistan,29.473000000000003,67.172,7.1,,200.0,1931,8,1930,19.0,summer,False,Major,1930,,
60,1931-09-21 02:20,Japan,36.021,139.381,6.8,,16.0,1931,9,1930,11.0,authumn,False,Strong,1930,,
61,1931-11-02 10:03,Japan,32.003,131.945,7.5,,1.0,1931,11,1930,18.0,authumn,False,Major,1930,,
62,1932-04-06 09:11,China,31.4,115.0,6.0,,6.0,1932,4,1930,16.0,spring,False,Strong,1930,,
63,1932-12-25 02:04,China,39.771,96.69,7.6,,275.0,1932,12,1930,8.0,winter,False,Major,1930,,
64,1933-03-02 17:31,Japan,39.224000000000004,144.622,8.4,,3064.0,1933,3,1930,2.0,spring,True,Great,1930,,
65,1933-08-25 07:50,China,31.81,103.541,7.3,,6865.0,1933,8,1930,13.0,summer,False,Major,1930,,
66,1934-01-12 13:31,China,23.7,102.7,6.0,,1.0,1934,1,1930,19.0,winter,False,Strong,1930,,
67,1935-01-04 14:41,Turkey,40.5,27.5,6.2,,5.0,1935,1,1930,15.0,winter,False,Strong,1935,,
68,1935-04-28 00:00,China,29.4,102.3,6.0,,2.0,1935,4,1930,6.0,spring,True,Strong,1935,,
69,1935-05-01,Turkey,40.38,43.41,6.2,,200.0,1935,5,1930,,spring,True,Strong,1935,,
70,1935-05-30 21:32,Pakistan,28.894000000000002,66.176,8.1,,60000.0,1935,5,1930,1.0,spring,True,Great,1935,,
71,1935-07-11 18:35,Japan,35.0,138.0,6.3,,9.0,1935,7,1930,3.0,summer,True,Strong,1935,,
72,1936-02-07 08:56,China,35.633,103.265,6.8,,42.0,1936,2,1930,14.0,winter,False,Strong,1935,,
73,1936-04-26 23:59,China,28.733,103.49700000000001,6.8,,,1936,4,1930,5.0,spring,True,Strong,1935,,
74,1936-05-16 07:05,China,28.675,103.684,6.8,,550.0,1936,5,1930,13.0,spring,False,Strong,1935,,
75,1936-08-01 06:24,China,34.2,105.7,6.0,,144.0,1936,8,1930,13.0,summer,False,Strong,1935,,
76,1936-08-17 00:00,China,26.6,103.0,5.5,,30.0,1936,8,1930,6.0,summer,True,Moderate,1935,,
77,1937-07-31 20:35,China,35.251999999999995,115.15299999999999,6.9,,3833.0,1937,7,1930,3.0,summer,True,Strong,1935,,
78,1938-04-19 10:59,Turkey,39.439,34.015,6.8,,155.0,1938,4,1930,12.0,spring,False,Strong,1935,,
79,1938-11-05 08:43,Japan,37.009,142.045,7.9,,1.0,1938,11,1930,17.0,authumn,False,Major,1935,,
80,1939-05-01 05:58,Japan,39.839,139.969,7.0,,27.0,1939,5,1930,14.0,spring,False,Major,1935,,
81,1939-09-19 00:00,China,24.4,102.5,5.5,,1.0,1939,9,1930,6.0,authumn,True,Moderate,1935,,
82,1939-12-26 23:57,Turkey,39.77,39.533,7.8,,32968.0,1939,12,1930,1.0,winter,True,Major,1935,,
83,1940-04-06 13:43,China,23.9,102.3,6.0,,181.0,1940,4,1940,19.0,spring,False,Strong,1940,,
84,1940-05-24 16:33,Peru,-11.119000000000002,-77.62899999999999,7.5,,250.0,1940,5,1940,10.0,authumn,False,Major,1940,,
85,1940-06-19 00:00,China,24.4,102.5,5.5,,2.0,1940,6,1940,6.0,summer,True,Moderate,1940,,
86,1940-08-01 15:08,Japan,44.508,139.829,7.5,,10.0,1940,8,1940,0.0,summer,True,Major,1940,,
87,1941-05-05 15:18,China,47.0,127.2,6.0,,132.0,1941,5,1940,23.0,spring,True,Strong,1940,,
88,1941-05-16 07:14,China,23.514,99.40799999999999,6.9,,16.0,1941,5,1940,13.0,spring,False,Strong,1940,,
89,1941-09-10 21:53,Turkey,39.5,43.3,6.0,,500.0,1941,9,1940,23.0,authumn,True,Strong,1940,,
90,1941-10-08 15:24,China,31.7,102.3,6.0,,139.0,1941,10,1940,21.0,authumn,True,Strong,1940,,
91,1941-11-12 10:04,Turkey,39.7,39.4,5.9,,15.0,1941,11,1940,12.0,authumn,False,Moderate,1940,,
92,1941-11-18 16:46,Japan,32.0,132.0,7.7,,2.0,1941,11,1940,0.0,authumn,True,Major,1940,,
93,1942-02-01 17:30,China,23.1,100.3,6.8,,90.0,1942,2,1940,23.0,winter,True,Strong,1940,,
94,1942-08-24 22:50,Peru,-14.975,-74.92,7.7,,30.0,1942,8,1940,17.0,winter,False,Major,1940,,
95,1942-12-20 14:03,Turkey,40.671,36.45,7.2,,3000.0,1942,12,1940,16.0,winter,False,Major,1940,,
96,1943-01-20 15:32,Turkey,40.8,30.5,6.6,,285.0,1943,1,1940,17.0,winter,False,Strong,1940,,
97,1943-06-20 15:33,Turkey,40.6,30.5,6.2,,336.0,1943,6,1940,17.0,summer,False,Strong,1940,,
98,1943-09-10 08:36,Japan,35.25,134.0,7.0,,1083.0,1943,9,1940,16.0,authumn,False,Major,1940,,
99,1943-11-26 22:20,Turkey,41.0,34.0,7.5,,4020.0,1943,11,1940,0.0,authumn,True,Major,1940,,
100,1944-02-01 03:22,Turkey,41.5,32.5,7.2,,3959.0,1944,2,1940,5.0,winter,True,Major,1940,,
101,1944-03-09 22:12,China,44.0,84.0,7.1,,4.0,1944,3,1940,3.0,spring,True,Major,1940,,
102,1944-10-06 21:34,Turkey,39.4,26.7,6.8,,30.0,1944,10,1940,22.0,authumn,True,Strong,1940,,
103,1944-12-07 04:35,Japan,33.75,136.0,8.1,,1251.0,1944,12,1940,13.0,winter,False,Great,1940,,
104,1945-01-12 18:38,Japan,34.75,136.75,6.8,,2306.0,1945,1,1940,3.0,winter,True,Strong,1945,,
105,1945-02-10 04:57,Japan,41.25,142.5,7.1,,2.0,1945,2,1940,13.0,winter,False,Major,1945,,
106,1945-03-20 07:59,Turkey,37.4,35.8,6.0,,300.0,1945,3,1940,9.0,spring,False,Strong,1945,,
107,1945-09-23 15:34,China,39.5,119.0,6.3,,600.0,1945,9,1940,22.0,authumn,True,Strong,1945,,
108,1945-11-27 21:56,Pakistan,24.5,63.0,8.0,,4000.0,1945,11,1940,1.0,authumn,True,Great,1945,,
109,1946-02-21 15:43,Turkey,38.2,31.8,5.6,,12.0,1946,2,1940,17.0,winter,False,Moderate,1945,,
110,1946-05-31 03:12,Turkey,39.3,41.2,5.9,,1300.0,1946,5,1940,5.0,spring,True,Moderate,1945,,
111,1946-11-10 17:42,Peru,-8.5,-77.5,6.8,,1400.0,1946,11,1940,11.0,spring,False,Strong,1945,,
112,1946-12-20 19:19,Japan,32.5,134.5,8.1,,2000.0,1946,12,1940,3.0,winter,True,Great,1945,,
113,1947-03-26 20:48,China,25.0,102.0,5.5,,4.0,1947,3,1940,2.0,spring,True,Moderate,1945,,
114,1947-09-26 16:01,Japan,24.75,123.0,7.4,,5.0,1947,9,1940,0.0,authumn,True,Major,1945,,
115,1947-11-01 14:58,Peru,-10.5,-75.0,7.7,,233.0,1947,11,1940,9.0,spring,False,Major,1945,,
116,1948-05-11 08:55,Peru,-17.5,-70.25,7.4,,4.0,1948,5,1940,3.0,authumn,True,Major,1945,,
117,1948-05-25 07:11,China,29.5,100.5,7.2,,737.0,1948,5,1940,13.0,spring,False,Major,1945,,
118,1948-05-28 05:36,Peru,-13.0,-76.5,7.0,,4.0,1948,5,1940,23.0,authumn,True,Major,1945,,
119,1948-06-15 11:44,Japan,33.75,135.25,6.9,,2.0,1948,6,1940,20.0,summer,False,Strong,1945,,
120,1948-06-27 00:08,China,26.4,99.7,6.8,,280.0,1948,6,1940,6.0,summer,True,Strong,1945,,
121,1948-06-28 07:13,Japan,36.5,136.0,7.0,,5131.0,1948,6,1940,16.0,summer,False,Major,1945,,
122,1948-10-08 19:01,China,27.4,104.0,5.8,,9.0,1948,10,1940,1.0,authumn,True,Moderate,1945,,
123,1949-02-23 16:08,China,41.0,83.5,7.3,,12.0,1949,2,1940,21.0,winter,True,Major,1945,,
124,1949-07-23 15:03,Turkey,38.6,26.3,6.8,,7.0,1949,7,1940,16.0,summer,False,Strong,1945,,
125,1949-08-17 18:44,Turkey,39.5,40.6,6.8,,437.0,1949,8,1940,20.0,summer,False,Strong,1945,,
126,1950-05-21 18:37,Peru,-13.5,-72.0,6.0,,120.0,1950,5,1950,13.0,authumn,False,Strong,1950,6.0,
127,1950-08-15 14:09,China,28.5,96.5,8.6,,3300.0,1950,8,1950,20.0,summer,False,Great,1950,59.1,
128,1951-08-13 18:33,Turkey,40.8,33.4,6.7,,50.0,1951,8,1950,20.0,summer,False,Strong,1950,27.8,
129,1952-01-03 06:03,Turkey,39.9,41.7,6.0,,103.0,1952,1,1950,8.0,winter,False,Strong,1950,27.8,
130,1952-03-04 01:22,Japan,42.5,143.0,8.1,,33.0,1952,3,1950,10.0,spring,False,Great,1950,227.1,
131,1952-07-17 16:09,Japan,34.4,135.8,6.8,,9.0,1952,7,1950,1.0,summer,True,Strong,1950,227.1,
132,1952-08-17 16:02,China,30.796999999999997,91.648,7.7,,54.0,1952,8,1950,22.0,summer,True,Major,1950,59.1,
133,1952-10-22 00:00,Turkey,36.5,35.5,5.0,,10.0,1952,10,1950,2.0,authumn,True,Moderate,1950,27.8,
134,1953-03-18 19:06,Turkey,40.12,27.621,7.2,,1200.0,1953,3,1950,20.0,spring,False,Major,1950,27.8,
135,1953-12-12 17:31,Peru,-3.597,-80.847,7.5,,7.0,1953,12,1950,11.0,summer,False,Major,1950,6.0,
136,1954-02-11 00:30,China,38.876,101.212,7.1,,47.0,1954,2,1950,6.0,winter,True,Major,1950,59.1,
137,1955-04-14 01:29,China,29.980999999999998,101.613,7.5,,94.0,1955,4,1950,7.0,spring,False,Major,1955,65.1,
138,1955-04-15 03:40,China,39.816,74.64,7.1,,5.0,1955,4,1950,7.0,spring,False,Major,1955,65.1,
139,1955-07-16 07:07,Turkey,37.6,27.2,6.8,,23.0,1955,7,1950,8.0,summer,False,Strong,1955,31.5,
140,1955-09-23 15:06,China,26.6,101.7,6.9,,593.0,1955,9,1950,21.0,authumn,True,Strong,1955,65.1,
141,1956-02-20 20:31,Turkey,40.0,30.5,5.8,,4.0,1956,2,1950,22.0,winter,True,Moderate,1955,31.5,
142,1956-09-29 23:20,Japan,35.641999999999996,140.31,6.9,,1.0,1956,9,1950,8.0,authumn,False,Strong,1955,244.2,
143,1957-04-25 02:25,Turkey,36.387,28.609,7.0,,67.0,1957,4,1950,3.0,spring,True,Major,1955,31.5,
144,1957-05-26 06:33,Turkey,40.672,31.041999999999998,7.2,,500.0,1957,5,1950,8.0,spring,False,Major,1955,31.5,
145,1958-01-15 19:14,Peru,-16.779,-72.503,7.0,,28.0,1958,1,1950,14.0,summer,False,Major,1955,6.9,
146,1958-02-07 23:23,China,31.576999999999998,103.912,6.8,,,1958,2,1950,5.0,winter,True,Strong,1955,65.1,
147,1958-03-11 00:26,Japan,24.433000000000003,124.351,7.2,,2.0,1958,3,1950,8.0,spring,False,Major,1955,244.2,
148,1959-04-26 20:40,Japan,24.686999999999998,122.792,7.5,,1.0,1959,4,1950,4.0,spring,True,Major,1955,244.2,
149,1960-01-13 15:40,Peru,-15.814,-72.788,7.5,,63.0,1960,1,1960,10.0,summer,False,Major,1960,7.9,
150,1960-01-15 09:30,Peru,-14.960999999999999,-75.16199999999999,6.9,,63.0,1960,1,1960,3.0,summer,True,Strong,1960,7.9,
151,1960-11-20 22:02,Peru,-6.727,-80.60600000000001,7.8,,11.0,1960,11,1960,16.0,spring,False,Major,1960,7.9,
152,1961-02-26 18:10,Japan,31.631999999999998,131.548,7.7,,2.0,1961,2,1960,2.0,winter,True,Major,1960,257.0,
153,1961-08-19 05:33,Japan,36.07,136.7,6.9,,8.0,1961,8,1960,14.0,summer,False,Strong,1960,257.0,
154,1963-09-24 16:30,Peru,-10.694,-78.212,6.9,,1.0,1963,9,1960,10.0,spring,False,Strong,1960,7.9,
155,1964-06-14 12:15,Turkey,38.08,38.475,5.5,,8.0,1964,6,1960,14.0,summer,False,Moderate,1960,35.7,
156,1964-06-16 04:01,Japan,38.434,139.226,7.5,,26.0,1964,6,1960,13.0,summer,False,Major,1960,257.0,
157,1964-10-06 14:31,Turkey,40.25,28.208000000000002,6.0,,23.0,1964,10,1960,15.0,authumn,False,Strong,1960,35.7,
158,1965-04-19 23:42,Japan,34.842,138.278,5.6,,2.0,1965,4,1960,8.0,spring,False,Moderate,1965,270.0,
159,1965-11-13 04:33,China,43.84,87.755,7.0,,7.0,1965,11,1960,9.0,authumn,False,Major,1965,77.0,
160,1966-02-05 15:12,China,26.16,103.171,5.6,,371.0,1966,2,1960,21.0,winter,True,Moderate,1965,77.0,
